site,site.abbrev,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,date.harvest,num.flowers,num.fruits,height,leaf.length,X.stems,X.leaves,num.sharpie.flowers,fruit.collected,dev.seed1,undev.seed1,weight.1,dev.seed,undev.seed,seed.weight
Meridian,MR,control,south,Boechera stricta,1,P,open,07/11/2019,7/22/19,,6,,34,,,,,,,,,678,,
Meridian,MR,control,south,Boechera stricta,1,D,open,07/11/2019,7/22/19,,6,,38.4,,,,,,,,,139,,
Meridian,MR,control,south,Boechera stricta,7,H,open,07/11/2019,7/22/19,,6,,36,,,,,,,,,436,,
Meridian,MR,control,south,Boechera stricta,14,P,open,07/11/2019,7/22/19,,11,,33.1,,,,,,,,,1168,,
Meridian,MR,control,south,Boechera stricta,17,G,open,07/11/2019,7/22/19,,4,,33.8,,,,,,,,,214,,
Meridian,MR,control,south,Boechera stricta,24,P,open,,7/22/19,,7,,38.9,,,,,,,,,462,,
Meridian,MR,control,south,Boechera stricta,30,K,open,07/11/2019,7/22/19,,9,,27.5,,,,,,,,,653,,
Pfieler,PF,control,south,Boechera stricta,1,F,open,07/11/2019,7/22/19,,,,,,,,,,,,,191,,
Pfieler,PF,control,south,Boechera stricta,1,D,open,,,,,,,,,,,,,,,533,,
Pfieler,PF,control,south,Boechera stricta,1,L,open,,,,,,,,,,,,,,,131,,
Pfieler,PF,control,south,Boechera stricta,16,B,open,07/11/2019,7/29/19,,,,,,,,,,,,,291,,
Pfieler,PF,control,south,Boechera stricta,16,E,open,07/11/2019,7/29/19,,,,,,,,,,,,,90,,
Pfieler,PF,control,south,Boechera stricta,16,H,open,07/11/2019,7/29/19,,,,,,,,,,,,,231,,
Pfieler,PF,control,south,Boechera stricta,17,H,open,7/22/19,7/29/19,,,,,,,,,,,,,226,,
Pfieler,PF,control,south,Boechera stricta,24,J,open,7/22/19,7/29/19,,,,,,,,,,,,,331,,
Pfieler,PF,control,south,Boechera stricta,28,H,open,07/11/2019,7/29/19,,,,,,,,,,,,,78,,
RustlersGulch,RG,control,north,Boechera stricta,10,L,open,,7/17/19,,5,,24.9,,,,,,,,,34,,
RustlersGulch,RG,control,north,Boechera stricta,16,I,open,7/17/19,7/19/19,,9,,42.8,,,,,,,,,81,,
RustlersGulch,RG,control,north,Boechera stricta,16,K,open,7/17/19,7/19/19,,8,,31.1,,,,,,,,,43,,
RustlersGulch,RG,control,north,Boechera stricta,18,A,open,,7/26/19,,15,,44.6,,,,,,,,,306,,
RustlersGulch,RG,control,north,Boechera stricta,18,G,open,,7/19/19,,8,,36.8,,,,,,,,,130,,
RustlersGulch,RG,control,north,Boechera stricta,22,P,open,,7/19/19,,9,,32.7,,,,,,,,,428,,
RustlersGulch,RG,control,north,Boechera stricta,22,K,open,,7/19/19,,7,,33.4,,,,,,,,,268,,
RustlersGulch,RG,control,north,Boechera stricta,23,F,open,7/17/19,7/26/19,,12,,43.7,,,,,,,,,366,,
WG3C,WG3C,control,north,Boechera stricta,8,C,open,07/09/2019,7/22/19,,6,,34,,,,,,,,,181,,
WG3C,WG3C,control,north,Boechera stricta,19,M,open,07/09/2019,7/29/19,,16,,33.5,,,,,,,,,449,,
WG3C,WG3C,control,north,Boechera stricta,22,M,open,07/09/2019,7/22/19,,12,,40.2,,,,,,,,,791,,
WG3C,WG3C,control,north,Boechera stricta,24,O,open,07/09/2019,,,,,,,,,,,,,,,,
WG3C,WG3C,control,north,Boechera stricta,25,G,open,07/09/2019,7/29/19,,,,,,,,,,,,,,,
WG3C,WG3C,control,north,Boechera stricta,27,O,open,07/09/2019,7/29/19,,,,,,,,,,,,,,,
WG3C,WG3C,control,north,Boechera stricta,27,K,open,07/09/2019,,,,,,,,,,,,,,,,
Meridian,MR,manip,south,Boechera stricta,10,C,open,07/11/2019,7/22/19,,5,,28,,,,,,,,,197,,
Meridian,MR,manip,south,Boechera stricta,13,A,open,07/11/2019,7/22/19,,7,,45.5,,,,,,,,,349,,
Meridian,MR,manip,south,Boechera stricta,19,A,open,07/11/2019,7/22/19,,6,,29,,,,,,,,,257,,
Meridian,MR,manip,south,Boechera stricta,20,C,open,07/11/2019,7/22/19,,5,,29.5,,,,,,,,,96,,
Meridian,MR,manip,south,Boechera stricta,26,G,open,,7/22/19,,4,,27.8,,,,,,,,,466,,
Pfieler,PF,manip,north,Boechera stricta,5,H,open,07/09/2019,7/22/19,,,,,,,,,,,,,453,,
Pfieler,PF,manip,north,Boechera stricta,17,H,open,07/09/2019,7/22/19,,,,,,,,,,,,,77,,
Pfieler,PF,manip,north,Boechera stricta,21,M,open,07/09/2019,7/22/19,,,,,,,,,,,,,282,,
Pfieler,PF,manip,north,Boechera stricta,22,E,open,07/09/2019,7/22/19,,,,,,,,,,,,,387,,
Pfieler,PF,manip,north,Boechera stricta,22,K,open,07/09/2019,7/25/19,,,,,,,,,,,,,96,,
Pfieler,PF,manip,north,Boechera stricta,25,M,open,07/09/2019,7/22/19,,,,,,,,,,,,,327,,
Pfieler,PF,manip,north,Boechera stricta,27,H,open,07/09/2019,7/22/19,,,,,,,,,,,,,637,,
Pfieler,PF,manip,north,Boechera stricta,29,K,open,07/09/2019,7/22/19,,,,,,,,,,,,,941,,
RustlersGulch,RG,manip,south,Boechera stricta,1,H,open,,7/19/19,,6,,39.9,,,,,,,,,363,,
RustlersGulch,RG,manip,south,Boechera stricta,1,P,open,,7/19/19,,8,,26.5,,,,,,,,,353,,
RustlersGulch,RG,manip,south,Boechera stricta,2,B,open,,7/19/19,,9,,22.1,,,,,,,,,300,,
RustlersGulch,RG,manip,south,Boechera stricta,2,K,open,,7/26/19,,6,,38,,,,,,,,,207,,
RustlersGulch,RG,manip,south,Boechera stricta,2,J,open,,7/19/19,,8,,47.1,,,,,,,,,285,,
RustlersGulch,RG,manip,south,Boechera stricta,19,D,open,,7/17/19,,9,,43.5,,,,,,,,,544,,
RustlersGulch,RG,manip,south,Boechera stricta,19,L,open,,7/17/19,,7,,38,,,,,,,,,97,,
RustlersGulch,RG,manip,south,Boechera stricta,23,M,open,,7/19/19,,13,,35.8,,,,,,,,,1392,,
WG3C,WG3C,manip,south,Boechera stricta,16,J,open,07/03/2019,7/22/19,,6,,32.5,,,,,,,,,238,,
WG3C,WG3C,manip,south,Boechera stricta,17,J,open,07/03/2019,7/22/19,,6,,32.1,,,,,,,,,450,,
WG3C,WG3C,manip,south,Boechera stricta,17,N,open,07/03/2019,7/22/19,,9,,42.3,,,,,,,,,777,,
WG3C,WG3C,manip,south,Boechera stricta,22,B,open,07/03/2019,7/29/19,,5,,37,,,,,,,,,103,,
WG3C,WG3C,manip,south,Boechera stricta,23,I,open,07/03/2019,7/22/19,,7,,39.1,,,,,,,,,480,,
Meridian,MR,control,north,Delphinium nuttallianum,5,A,open-hand,07/03/2019,7/18/19,NA,3,NA,30.5,NA,NA,NA,NA,NA,5,0,0,5,15,0
Meridian,MR,control,north,Delphinium nuttallianum,6,F,open-hand,07/03/2019,7/18/19,NA,4,NA,23,NA,NA,NA,NA,NA,0,9,0,31,2,0.013
Meridian,MR,control,north,Delphinium nuttallianum,8,G,open-hand,07/09/2019,7/15/19,NA,2,NA,26,NA,NA,NA,NA,NA,0,21,0,14,18,0.002
Meridian,MR,control,north,Delphinium nuttallianum,13,J,open-hand,07/03/2019,7/15/19,NA,3,NA,19.5,NA,NA,NA,NA,NA,0,22,0,0,8,0
Meridian,MR,control,north,Delphinium nuttallianum,16,K,open-hand,07/03/2019,7/15/19,NA,3,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,3,18,0
