date,site,who,plot,transect,segment,round,vial_number,specimen_number,gross_ID,plant,notes,insect_order,insect_family,insect_subfamily,insect_genus,insect_species,fine_ID,pollen,pinned by,pinned date,pinned notes
6/9/17,Meridian,LX,Manipulated,M2,4,,L1,30001,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Sphecodes,,Sphecodes,,,,
6/9/17,Meridian,LX,Manipulated,M2,5,,L2,30002,Hemipteran,Claytonia lanceolata,Check ID; doesn't look like pentatomidae,Hemiptera,,,,,Pentatomidae,,,,
6/9/17,Meridian,LX,Manipulated,M1,2,,L3,30003,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/9/17,Meridian,LX,Manipulated,M2,2,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/9/17,Meridian,LX,Manipulated,M2,2,,,NA,Ants,Claytonia lanceolata,,,,,,,,,,,
6/9/17,Meridian,LX,Manipulated,M2,2,,,NA,Ants,Claytonia lanceolata,,,,,,,,,,,
6/9/17,Meridian,LX,Manipulated,M3,1,,,NA,Ants,Claytonia lanceolata,,,,,,,,,,,
6/9/17,Meridian,LX,Manipulated,M2,4,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/9/17,Meridian,LX,Manipulated,M1,5,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/9/17,Meridian,LX,Manipulated,M1,1,,,NA,Other fly,Claytonia lanceolata,,Diptera,,,,,,,,,
6/9/17,Meridian,CM,Control,C3,1,,,NA,Bombyliidae,Claytonia lanceolata,,Diptera,Bombyliidae,,,,,,,,
6/9/17,Meridian,CM,Control,C3,1,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/10/17,Avery Picnic,CM,Manipulated,M2,2,,L1,30004,Other fly,Delphinium nuttallianum,,Diptera,,,,,,,,,
6/10/17,Avery Picnic,LX,Control,C3,3,,L2,30005,Small black solitary bee,Viola praemorsa,,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus virgatellus,,,,
6/10/17,Avery Picnic,LX,Control,C3,3,,L3,30006,Small metallic solitary bee,Viola praemorsa,metallic,Hymenoptera,Megachilidae,,Osmia,,Osmia,,,,
6/10/17,Avery Picnic,LX,Control,C3,3,,L4,30007,Other fly,Androsace septentrionalis,,Diptera,Muscidae,,,,Hydrotaea sp.,,,,
6/10/17,Avery Picnic,CM,Control,C3,4,,L5,30008,Hemipteran,Viola praemorsa,,Hemiptera,Miridae,,,,Miridae,,,,
6/10/17,Avery Picnic,CM,Control,C2,4,,L6,30009,Syrphidae,Ranunculus inamoenus,,Diptera,Syrphidae,,,,,,,,
6/10/17,Avery Picnic,CM,Control,C2,4,,L7,30010,Small black solitary bee,Ranunculus inamoenus,,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus tripartitus,,,,
6/10/17,Avery Picnic,CM,Manipulated,M3,5,,,NA,Small black solitary bee,Taraxacum officinale,,Hymenoptera,,,,,,,,,
6/10/17,Avery Picnic,LX,Control,C3,3,,,NA,Beetles,Ranunculus inamoenus,,Coleoptera,,,,,,,,,
6/10/17,Avery Picnic,CM,Control,C2,4,,,NA,Hemipteran,Ranunculus inamoenus,,Hemiptera,,,,,,,,,
6/11/17,Pfeiler,LX,Manipulated,M1,2,,L1,30011,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Manipulated,M1,3,,L2,30012,Syrphidae,Claytonia lanceolata,,Diptera,Syrphidae,Syrphinae,Sphaerophoria,,Sphaerophoria,,,,
6/11/17,Pfeiler,LX,Manipulated,M1,3,,L3,30013,Other fly,Claytonia lanceolata,,Diptera,,,,,,,,,
6/11/17,Pfeiler,CM,Manipulated,M3,2,,L4,30014,Small metallic solitary bee,Mertensia fusiformis,,Hymenoptera,Megachilidae,,Osmia,,Osmia,,,,
6/11/17,Pfeiler,CM,Manipulated,M2,5,,L5,30015,Other fly,Claytonia lanceolata,,Diptera,Tachinidae,,,,Tachinidae 1,,,,
6/11/17,Pfeiler,CM,Manipulated,M2,4,,L6,30016,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,CM,Manipulated,M2,3,,L7,30017,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,CM,Manipulated,M2,3,,L8,30018,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Control,C1,2,,L9,30019,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Control,C3,3,,L10,30020,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Andrenidae,Andreninae,Andrena,,Andrena,,,,
6/11/17,Pfeiler,LX,Control,C3,3,,L11,30021,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Control,C3,3,,L12,30022,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Control,C3,3,,L13,30023,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Control,C3,3,,L14,30024,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Control,C3,3,,L15,30025,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,CM,Control,C1,4,,L16,30026,Hemipteran,Claytonia lanceolata,,Hemiptera,Miridae,,,,Miridae,,,,
6/11/17,Pfeiler,LX,Control,C2,3,,L17,30027,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,CM,Control,C1,5,,L18,30028,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Sphecodes,,Sphecodes,,,,
6/11/17,Pfeiler,CM,Control,C2,2,,L19,30029,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Control,C1,1,,L20,30030,Syrphidae,Claytonia lanceolata,,Diptera,Syrphidae,,,,,,,,
6/11/17,Pfeiler,LX,Control,C3,4,,L21,30031,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,LX,Control,C3,1,,L22,30032,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus rubicundus,,,,
6/11/17,Pfeiler,LX,Control,C2,1,,L23,30033,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/11/17,Pfeiler,CM,Manipulated,M3,1,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/11/17,Pfeiler,LX,Manipulated,M1,2,,,NA,Hemipteran,Claytonia lanceolata,,Hemiptera,,,,,,,,,
6/11/17,Pfeiler,LX,Control,C2,3,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/11/17,Pfeiler,LX,Control,C1,3,,,NA,Other fly,Claytonia lanceolata,was same musc. Fly morphtype as M2.S5,Diptera,,,,,,,,,
6/11/17,Pfeiler,LX,Control,C3,4,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/11/17,Pfeiler,LX,Control,C2,4,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/13/17,Meridian,KE,Control,C3,4,,K1,30034,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/13/17,Meridian,KE,Control,C1,3,,K2,30035,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/13/17,Meridian,KE,Control,C1,5,,K3,30036,Other fly,Pseudocymopterus montanus,,Diptera,Empididae,,,,Empididae,,,,
6/13/17,Meridian,ED,Manipulated,M3,1,,E1,30037,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/13/17,Meridian,KE,Control,C3,4,,,NA,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,,,,,,,,,
6/13/17,Meridian,KE,Control,C3,4,,,NA,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,,,,,,,,,
6/13/17,Meridian,KE,Manipulated,M1,5,,,NA,Other fly,Draba aurea,,Diptera,,,,,,,,,
6/13/17,Meridian,ED,Control,C2,3,,,NA,Moths,Pseudocymopterus montanus,,Lepidoptera,,,,,,,,,
6/13/17,Meridian,LX,Control,C1,4,,,NA,Ants,Viola praemorsa,,,,,,,,,,,
6/13/17,Meridian,ED,Manipulated,M3,1,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/13/17,Meridian,ED,Manipulated,M3,1,,,NA,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,,,,,,,,,
6/14/17,Pfeiler,LX,Control,C2,3,,LX1,30038,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,LX,Control,C2,3,,LX2,30039,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
